FID,Join_Count,TARGET_FID,objectid,statecode,statename,state_ut,distcode,distname,distarea,totalpopul,totalhh,totpopmale,totpopfema,st_areasha,st_lengths,pointid,grid_code
592,3239,592,586,09,Uttar Pradesh,STATE,201,Etah,2431,1774480,290683,947339,827141,3141878981,480878.0771,678727,97.22589874
593,7885,593,587,09,Uttar Pradesh,STATE,155,Hardoi,5986,4092845,730442,2191442,1901403,7638443380,578336.4863,678912,88.37239838
594,4255,594,588,09,Uttar Pradesh,STATE,182,Balrampur,3349,2148665,323881,1114721,1033944,4126801741,419679.6488,664503,53.61159897
595,2337,595,589,09,Uttar Pradesh,STATE,144,Mahamaya Nagar,1840,1564708,260860,836127,728581,2259934436,337136.4894,668184,95.40589905
596,5908,596,590,09,Uttar Pradesh,STATE,152,Shahjahanpur,4388,3006538,527501,1606403,1400135,5760245896,583046.5692,554128,79.30310059
597,2866,597,591,09,Uttar Pradesh,STATE,159,Farrukhabad,2181,1885204,314144,1006240,878964,2780189976,312742.263,696132,91.94429779
598,2717,598,592,09,Uttar Pradesh,STATE,160,Kannauj,2093,1656616,280928,881776,774840,2628291496,308680.2127,833894,90.80999756
599,5017,599,593,09,Uttar Pradesh,STATE,151,Pilibhit,3686,2031007,362573,1072002,959005,4906835718,549467.54,470530,72.29370117
600,3456,600,594,09,Uttar Pradesh,STATE,148,Mainpuri,2760,1868529,313690,993377,875152,3342909915,303429.2088,763889,96.2437973
601,3032,601,595,09,Uttar Pradesh,STATE,137,Jyotiba Phule Nagar,2249,1840221,314401,963449,876772,2978614656,323160.5597,442894,94.66719818
602,3616,602,514,22,Chhatisgarh,STATE,410,Raipur,12383,4063872,871225,2048186,2015686,3327677530,291216.4669,2558631,53.17850113
603,8415,603,515,22,Chhatisgarh,STATE,400,Koriya,6604,658917,153274,334737,324180,7899438966,569217.8338,1874432,34.03620148
604,5049,604,516,22,Chhatisgarh,STATE,412,Dhamtari,4084,799781,170951,397897,401884,4644724671,427136.1042,2702350,54.77659988
605,8342,605,517,22,Chhatisgarh,STATE,404,Korba,6598,1206640,280073,612915,593725,7777005387,486544.0421,2167855,30.76460075
606,8844,606,518,22,Chhatisgarh,STATE,403,Raigarh,7086,1493984,367962,750278,743706,8212544207,691846.3518,2228572,33.72370148
607,7348,607,519,22,Chhatisgarh,STATE,402,Jashpur,5838,851669,192570,424747,426922,6861192589,503175.2535,2093078,37.74169922
608,5835,608,520,22,Chhatisgarh,STATE,411,Mahasamund,4790,1032754,248561,511967,520787,5378795724,508190.3641,2578011,45.01789856
609,10092,609,521,22,Chhatisgarh,STATE,408,Rajnandgaon,8070,1537133,318488,762855,774278,9296589855,741785.3991,2501899,37.86500168
