FID,Join_Count,TARGET_FID,objectid,statecode,statename,state_ut,distcode,distname,distarea,totalpopul,totalhh,totpopmale,totpopfema,st_areasha,st_lengths,pointid,grid_code
308,9337,308,338,27,Maharashtra,STATE,530,Kolhapur,7685,3876001,840240,1980658,1895343,8390057687,912576.4436,3373952,43.34640121
309,14060,309,339,27,Maharashtra,STATE,509,Chandrapur,11443,2204307,536686,1123834,1080473,12886718380,686450.5699,2765720,53.01950073
310,6742,310,340,27,Maharashtra,STATE,501,Akola,5676,1813906,395690,932334,881572,6213089982,600963.4239,2649646,51.92440033
311,7893,311,341,27,Maharashtra,STATE,513,Parbhani,6214,1836086,361130,942870,893216,7206512741,593285.5189,2946632,44.50450134
312,16821,312,342,27,Maharashtra,STATE,510,Yavatmal,13582,2772348,646886,1419965,1352383,15413204766,959662.1216,2772430,46.96149826
313,13101,313,343,27,Maharashtra,STATE,511,Nanded,10528,3361292,665434,1730075,1631217,11930417324,1075316.077,2925761,42.05619812
314,8984,314,344,27,Maharashtra,STATE,498,Dhule,7195,2050862,408874,1054031,996831,8287834520,633840.5859,2555607,40.26729965
315,12985,315,345,27,Maharashtra,STATE,527,Satara,10480,3003741,653735,1510842,1492899,11734771269,657094.8475,3228487,79.04090118
316,10372,316,346,27,Maharashtra,STATE,531,Sangli,8572,2822143,598386,1435728,1386415,9328893606,885501.8063,3312645,39.07249832
317,5792,317,347,27,Maharashtra,STATE,512,Hingoli,4827,1177345,228868,606294,571051,5297848503,495637.0361,2909204,43.56689835
318,19284,318,348,27,Maharashtra,STATE,521,Pune,15643,9429408,2151503,4924105,4505303,17511133608,1002880.833,3025690,46.17630005
319,30,319,268,07,NCT of Delhi,UNION TERRITORY,095,Central,21,582320,119639,307821,274499,31498639.14,37180.18587,502763,124.3000031
320,2024,320,269,06,Haryana,STATE,085,Rewari,1594,900332,178043,474335,425997,1976786271,343342.9434,534606,74.82900238
321,2331,321,270,06,Haryana,STATE,082,Rohtak,1745,1061204,206988,568479,492725,2290916919,300631.4267,440565,69.8368988
322,1965,322,271,06,Haryana,STATE,070,Ambala,1574,1128350,224334,598703,529647,1964065185,399840.2738,288217,57.52320099
323,153,323,272,04,Chandigarh,UNION TERRITORY,055,Chandigarh,114,1055450,241173,580663,474787,154899172.8,81606.54378,267855,67.20870209
324,6467,324,349,27,Maharashtra,STATE,507,Gondiya,5234,1322507,292369,661554,660953,5951535717,494154.037,2556247,42.52009964
325,15297,325,350,27,Maharashtra,STATE,503,Amravati,12210,2888445,647451,1480768,1407677,14116536119,947934.1059,2519790,48.52949905
326,7406,326,351,27,Maharashtra,STATE,497,Nandurbar,5955,1648295,323521,833170,815125,6853772903,722151.4099,2447507,35.69390106
327,10225,327,352,27,Maharashtra,STATE,528,Ratnagiri,8208,1615069,397115,761121,853948,9211585152,754768.9528,3246513,46.89899826
328,7886,328,353,27,Maharashtra,STATE,504,Wardha,6309,1300774,309846,668385,632389,7254784152,500395.9086,2624019,45.7052002
329,12726,329,354,27,Maharashtra,STATE,515,Aurangabad,10107,3701282,751915,1924469,1776813,11665681422,759012.2654,2777219,42.8144989
330,12166,330,355,27,Maharashtra,STATE,500,Buldana,9661,2586258,561504,1337560,1248698,11169655841,760126.6586,2639741,50.13430023
331,17928,331,356,27,Maharashtra,STATE,508,Gadchiroli,14412,1072942,250435,541328,531614,16397526751,955641.6785,2744602,46.93370056
332,14644,332,357,27,Maharashtra,STATE,499,Jalgaon,11765,4229917,903643,2197365,2032552,13474312694,768328.5814,2609656,41.59960175
333,8545,333,358,27,Maharashtra,STATE,520,Raigarh,7152,2634200,611790,1344345,1289855,7788799903,730771.8066,3070860,58.01240158
334,5237,334,359,27,Maharashtra,STATE,506,Bhandara,4087,1200334,278076,605520,594814,4826292385,461563.5221,2564864,44.70830154
335,13046,335,360,27,Maharashtra,STATE,523,Bid,10693,2585049,535835,1349106,1235943,11874266262,898343.5047,3016994,41.60359955
